owner_org,overall_total
dnd-mdn,4898557732.92
csc-scc,421505188.10
dfo-mpo,366412214.76
nrc-cnrc,292835286.21
rcmp-grc,243453914.81
phac-aspc,223748534.61
pwgsc-tpsgc,214815307.73
ec,149442380.41
pc,119381124.83
cbsa-asfc,112965163.22
aafc-aac,108063722.44
hc-sc,81747043.09
nrcan-rncan,81327490.07
dfatd-maecd,53688056.91
tc,44223896.66
cfia-acia,37181677.28
ssc-spc,28631108.96
ic,23677174.47
pch,14302321.77
cgc-ccg,13828953.25
cra-arc,9478369.91
isc-sac,9183312.41
csa-asc,8998695.90
cic,6688718.82
elections,5383658.94
esdc-edsc,4790237.19
cnsc-ccsn,4050866.92
pco-bcp,3860351.27
vac-acc,3649026.85
aandc-aadnc,3603456.37
cas-satj,3389369.18
statcan,2893580.23
lac-bac,2285600.95
irb-cisr,1450208.47
nbc-ccbn,586850.12
cta-otc,471807.45
ppsc-sppc,419211.04
cer-rec,417848.03
jus,399254.34
tsb-bst,389341.51
polar-polaire,302813.16
infc,272847.67
oag-bvg,217051.64
nsira-ossnr,133692.04
osgg-bsgg,128415.15
pbc-clcc,113766.40
nserc-crsng,97882.81
ced-dec,86163.25
fja-cmf,80000.00
csps-efpc,78710.86
acoa-apeca,72474.25
fpcc-cpac,57930.94
atssc-scdata,52691.30
chrc-ccdp,49820.63
cannor,46155.84
mgerc-ceegm,41915.74
fintrac-canafe,41389.86
tbs-sct,39797.68
wage,38604.85
ijc-cmi,37025.69
ps-sp,36275.85
prairiescan,27723.96
nfb-onf,27461.78
sshrc-crsh,26959.25
fin,23683.67
feddevontario,23035.90
opc-cpvp,22420.12
fcac-acfc,21780.75
crtc,15802.00
cihr-irsc,15447.10
sirc-csars,14414.34
ccohs-cchst,12683.28
ocol-clo,12011.07
