d_most_recent_category,total_amendment_increase_value,n
0_other,41369620.75,123
1_facilities_and_construction,10069496047.81,10881
10_office_management,408960315.69,2289
11_defence,7352160675.18,2782
2_professional_services,4616247879.23,13620
3_information_technology,10539453968.31,13012
4_medical,2747023931.61,1573
5_transportation_and_logistics,658422723.47,3419
6_industrial_products_and_services,1066623033.39,2508
7_travel,30385928.90,261
8_security_and_protection,235446365.05,1723
9_human_capital,232344364.73,2169
